Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg
Niemcy;Callahan;2005-02-20;10883;36.00
Niemcy;Peacock;2005-02-13;10884;1378.07
Polska;Sowiński;2005-02-18;10885;1209.00
Niemcy;Davolio;2005-03-02;10886;3127.50
Niemcy;Callahan;2005-02-16;10887;70.00
Niemcy;Davolio;2005-02-23;10888;605.00
Polska;Dudek;2005-02-23;10889;11380.00
Polska;King;2005-02-18;10890;860.10
Polska;King;2005-02-19;10891;368.93
Niemcy;Peacock;2005-02-19;10892;2090.00
Polska;Dudek;2005-02-20;10893;5502.11
Niemcy;Davolio;2005-02-20;10894;2753.10
Niemcy;Leverling;2005-02-23;10895;6379.40
Polska;King;2005-02-27;10896;750.50
Niemcy;Leverling;2005-02-25;10897;10835.24
Niemcy;Peacock;2005-03-06;10898;30.00
Polska;Kowalski;2005-02-26;10899;122.40
Niemcy;Davolio;2005-03-04;10900;33.75
Niemcy;Peacock;2005-02-26;10901;934.50
Niemcy;Davolio;2005-03-03;10902;863.43
Niemcy;Leverling;2005-03-04;10903;932.05
Niemcy;Leverling;2005-02-27;10904;1924.25
Polska;Dudek;2005-03-06;10905;342.00
Niemcy;Peacock;2005-03-03;10906;427.50
Polska;Sowiński;2005-02-27;10907;108.50
Niemcy;Peacock;2005-03-06;10908;663.10
Niemcy;Davolio;2005-03-10;10909;670.00
Niemcy;Davolio;2005-03-04;10910;452.90
Niemcy;Leverling;2005-03-05;10911;858.00
Niemcy;Fuller;2005-03-18;10912;6200.55
Niemcy;Peacock;2005-03-04;10913;768.75
Polska;Sowiński;2005-03-02;10914;537.50
Niemcy;Fuller;2005-03-02;10915;539.50
Niemcy;Davolio;2005-03-09;10916;686.70
Niemcy;Peacock;2005-03-11;10917;365.89
Niemcy;Leverling;2005-03-11;10918;1447.50
Niemcy;Fuller;2005-03-04;10919;1122.80
Niemcy;Peacock;2005-03-09;10920;390.00
Niemcy;Davolio;2005-03-09;10921;1936.00
Polska;Kowalski;2005-03-05;10922;742.50
Polska;King;2005-03-13;10923;748.80
Niemcy;Leverling;2005-04-08;10924;1835.70
Niemcy;Leverling;2005-03-13;10925;475.15
Niemcy;Peacock;2005-03-11;10926;514.40
Niemcy;Peacock;2005-04-08;10927;800.00
Niemcy;Davolio;2005-03-18;10928;137.50
Polska;Sowiński;2005-03-12;10929;1174.75
Niemcy;Peacock;2005-03-18;10930;2255.50
Niemcy;Peacock;2005-03-19;10931;799.20
Niemcy;Callahan;2005-03-24;10932;1788.63
Polska;Sowiński;2005-03-16;10933;920.60
Niemcy;Leverling;2005-03-12;10934;500.00
Niemcy;Peacock;2005-03-18;10935;619.50
Niemcy;Leverling;2005-03-18;10936;456.00
Polska;King;2005-03-13;10937;644.80
Niemcy;Leverling;2005-03-16;10938;2731.87
Niemcy;Fuller;2005-03-13;10939;637.50
Niemcy;Callahan;2005-03-23;10940;360.00
Polska;King;2005-03-20;10941;4011.75
Polska;Dudek;2005-03-18;10942;560.00
Niemcy;Peacock;2005-03-19;10943;711.00
Polska;Sowiński;2005-03-13;10944;1025.33
Niemcy;Peacock;2005-03-18;10945;245.00
Niemcy;Davolio;2005-03-19;10946;1407.50
Niemcy;Leverling;2005-03-16;10947;220.00
Niemcy;Leverling;2005-03-19;10948;2362.25
Niemcy;Fuller;2005-03-17;10949;4422.00
Niemcy;Davolio;2005-03-23;10950;110.00
Polska;Dudek;2005-04-07;10951;458.74
Niemcy;Davolio;2005-03-24;10952;471.20
Polska;Dudek;2005-03-25;10953;4441.25
Polska;Kowalski;2005-03-20;10954;1659.53
Niemcy;Callahan;2005-03-20;10955;74.40
Polska;Sowiński;2005-03-20;10956;677.00
Niemcy;Callahan;2005-03-27;10957;1762.70
Polska;King;2005-03-27;10958;781.00
Polska;Sowiński;2005-03-23;10959;131.75
Niemcy;Leverling;2005-04-08;10960;265.35
Niemcy;Callahan;2005-03-30;10961;1119.90
Niemcy;Callahan;2005-03-23;10962;3584.00
Polska;Dudek;2005-03-26;10963;57.80
Niemcy;Leverling;2005-03-24;10964;2052.50
Polska;Sowiński;2005-03-30;10965;848.00
Niemcy;Peacock;2005-04-08;10966;1098.46
Niemcy;Fuller;2005-04-02;10967;910.40
Niemcy;Davolio;2005-04-01;10968;1408.00
Niemcy;Davolio;2005-03-30;10969;108.00
Polska;Dudek;2005-04-24;10970;224.00
Niemcy;Fuller;2005-04-02;10971;1733.06
Niemcy;Peacock;2005-03-26;10972;251.50
Polska;Sowiński;2005-03-27;10973;291.55
Niemcy;Leverling;2005-04-03;10974;439.00
Niemcy;Davolio;2005-03-27;10975;717.50
Niemcy;Davolio;2005-04-03;10976;912.00
Niemcy;Callahan;2005-04-10;10977;2233.00
Polska;Dudek;2005-04-23;10978;1303.19
Niemcy;Callahan;2005-03-31;10979;4813.50
Niemcy;Peacock;2005-04-17;10980;248.00
Niemcy;Davolio;2005-04-02;10981;15810.00
Niemcy;Fuller;2005-04-08;10982;1014.00
Niemcy;Fuller;2005-04-06;10983;720.90
Niemcy;Davolio;2005-04-03;10984;1809.75
Niemcy;Fuller;2005-04-02;10985;2023.38
Niemcy;Callahan;2005-04-21;10986;2220.00
Niemcy;Callahan;2005-04-06;10987;2772.00
Niemcy;Leverling;2005-04-10;10988;3574.80
Niemcy;Fuller;2005-04-02;10989;1353.60
Niemcy;Fuller;2005-04-07;10990;4288.85
Niemcy;Davolio;2005-04-07;10991;2296.00
Niemcy;Davolio;2005-04-03;10992;69.60
Polska;King;2005-04-10;10993;4895.44
Niemcy;Fuller;2005-04-09;10994;940.50
Niemcy;Davolio;2005-04-06;10995;1196.00
Niemcy;Peacock;2005-04-10;10996;560.00
Niemcy;Callahan;2005-04-13;10997;1885.00
Niemcy;Callahan;2005-04-17;10998;686.00
Polska;Sowiński;2005-04-10;10999;1197.95
Niemcy;Fuller;2005-04-14;11000;903.75
Niemcy;Fuller;2005-04-14;11001;2769.00
Niemcy;Peacock;2005-04-16;11002;1811.10
Niemcy;Leverling;2005-04-08;11003;326.00
Niemcy;Leverling;2005-04-20;11004;295.38
Niemcy;Fuller;2005-04-10;11005;586.00
Niemcy;Leverling;2005-04-15;11006;329.69
Niemcy;Callahan;2005-04-13;11007;2633.90
Niemcy;Fuller;2005-04-10;11009;616.50
Niemcy;Fuller;2005-04-21;11010;645.00
Niemcy;Leverling;2005-04-13;11011;933.50
Niemcy;Davolio;2005-04-17;11012;2825.30
Niemcy;Fuller;2005-04-10;11013;361.00
Niemcy;Fuller;2005-04-15;11014;243.18
Niemcy;Fuller;2005-04-20;11015;622.35
Polska;Dudek;2005-04-13;11016;491.50
Polska;Dudek;2005-04-20;11017;6750.00
Niemcy;Peacock;2005-04-16;11018;1575.00
Niemcy;Fuller;2005-04-16;11020;632.40
Niemcy;Leverling;2005-04-21;11021;6306.24
Niemcy;Davolio;2005-04-24;11023;1500.00
Niemcy;Peacock;2005-04-20;11024;1966.81
Polska;Sowiński;2005-04-24;11025;270.00
Niemcy;Peacock;2005-04-28;11026;1030.00
Niemcy;Davolio;2005-04-20;11027;877.72
Niemcy;Fuller;2005-04-22;11028;2160.00
Niemcy;Peacock;2005-04-27;11029;1286.80
Polska;King;2005-04-27;11030;12615.05
Polska;Sowiński;2005-04-24;11031;2393.50
Niemcy;Fuller;2005-04-23;11032;8902.50
Polska;King;2005-04-23;11033;3232.80
Niemcy;Callahan;2005-04-27;11034;539.40
Niemcy;Fuller;2005-04-24;11035;1754.50
Niemcy;Callahan;2005-04-22;11036;1692.00
Polska;King;2005-04-27;11037;60.00
Niemcy;Davolio;2005-04-30;11038;732.60
Niemcy;Leverling;2005-04-28;11041;1773.00
Niemcy;Fuller;2005-05-01;11042;405.75
Polska;Kowalski;2005-04-29;11043;210.00
Niemcy;Peacock;2005-05-01;11044;591.60
Niemcy;Callahan;2005-04-24;11046;1485.80
Polska;King;2005-05-01;11047;817.87
Polska;King;2005-04-30;11048;525.00
Niemcy;Leverling;2005-05-01;11052;1332.00
Niemcy;Fuller;2005-04-29;11053;3055.00
Niemcy;Callahan;2005-05-01;11056;3740.00
Niemcy;Leverling;2005-05-01;11057;45.00
